Ano/mês do Óbito,Óbitos_p/Ocorrência,Pedestre traumatizado em um acidente de transporte,Ciclista traumatizado em um acidente de transporte,Motociclista traumat em um acidente de transporte,Ocupante triciclo motorizado traumat acid transp,Ocupante automóvel traumat acidente transporte,Ocupante caminhonete traumat acidente transporte,Ocupante veíc transp pesado traumat acid transp,Ocupante ônibus traumat acidente de transporte,Outros acidentes de transporte terrestre,Acidentes de transporte por água,Acidentes de transporte aéreo e espacial,Quedas,Exposição a forças mecânicas inanimadas,Exposição a forças mecânicas animadas,Afogamento e submersão acidentais,Outros riscos acidentais à respiração,"Expos corr elétr, radiação e temp press extrem amb","Exposição à fumaça, ao fogo e às chamas",Contato com fonte de calor ou substâncias quentes,Contato com animais e plantas venenosos,Exposição às forças da natureza,Envenenamento acidental e exposição subst nocivas,Exposição acidental a outr fatores e aos não espec,Lesões autoprovocadas intencionalmente,Agressões,Eventos (fatos) cuja intenção é indeterminada,Intervenções legais e operações de guerra,"Ef advers drog, medic e subst biológ finalid terap",Acid ocorr pacientes prest cuid médicos e cirúrg,Incid advers atos diagn terap assoc disposit médic,Reaç anorm compl tard proc cirúrg méd s/menç acid,Seqüelas causas externas de morbidade e mortalidad,Total Causa Externa
Agosto/2007,1169,20,1,12,-,4,-,-,-,2,-,-,20,1,-,-,4,-,1,-,-,-,-,-,5,63,6,-,-,-,-,-,3,142
Setembro/2007,1017,11,4,15,-,6,-,-,-,1,-,-,23,-,-,1,1,2,-,-,-,-,-,-,7,64,12,-,-,-,-,-,2,149
Outubro/2007,1025,25,1,12,-,7,-,-,-,4,-,1,18,-,-,4,2,-,2,2,-,-,2,-,6,59,5,-,-,-,-,-,-,150
Novembro/2007,980,11,3,17,-,6,-,-,-,-,-,-,18,1,-,3,5,1,4,-,-,-,-,-,4,68,4,-,-,-,-,-,1,146
Dezembro/2007,1006,12,3,9,-,12,-,2,-,3,-,-,26,-,-,2,5,2,1,-,-,-,-,1,7,72,7,3,-,-,-,-,1,168
2008,13078,190,35,143,-,104,-,4,-,24,-,-,230,17,1,7,23,1,13,3,2,-,5,-,85,1032,73,3,5,-,-,4,13,2017
Janeiro/2008,1057,16,6,8,-,13,-,-,-,1,-,-,10,1,-,-,1,-,1,-,-,-,-,-,8,95,5,-,-,-,-,1,2,168
Fevereiro/2008,983,15,5,6,-,10,-,2,-,2,-,-,21,3,-,1,2,-,-,-,1,-,-,-,11,91,7,-,-,-,-,-,-,177
Março/2008,1063,14,2,9,-,4,-,-,-,4,-,-,22,1,-,1,1,-,1,2,-,-,-,-,5,90,9,-,-,-,-,1,-,166
Abril/2008,1060,17,1,9,-,9,-,1,-,2,-,-,16,1,1,-,2,-,1,-,-,-,-,-,8,76,5,-,2,-,-,1,1,153
Maio/2008,1151,22,6,10,-,8,-,-,-,1,-,-,27,-,-,-,2,-,-,-,-,-,1,-,6,89,6,1,-,-,-,-,1,180
Junho/2008,1221,14,5,17,-,9,-,-,-,1,-,-,24,-,-,-,1,-,-,1,-,-,1,-,4,76,5,-,-,-,-,-,1,159
Julho/2008,1185,23,2,17,-,5,-,1,-,1,-,-,21,4,-,1,2,-,1,-,-,-,-,-,4,95,4,-,-,-,-,-,1,182
Agosto/2008,1109,17,1,18,-,9,-,-,-,3,-,-,20,1,-,2,3,-,3,-,-,-,1,-,9,91,4,-,1,-,-,-,2,185
Setembro/2008,1029,16,2,5,-,10,-,-,-,4,-,-,18,-,-,-,5,1,2,-,1,-,-,-,8,64,8,-,1,-,-,-,2,147
Outubro/2008,1114,11,3,13,-,11,-,-,-,3,-,-,20,2,-,1,-,-,1,-,-,-,2,-,9,76,3,2,1,-,-,1,2,161
Novembro/2008,1076,14,1,13,-,6,-,-,-,2,-,-,19,1,-,-,-,-,1,-,-,-,-,-,5,101,9,-,-,-,-,-,-,172
Dezembro/2008,1030,11,1,18,-,10,-,-,-,-,-,-,12,3,-,1,4,-,2,-,-,-,-,-,8,88,8,-,-,-,-,-,1,167
2009,12718,180,31,125,-,83,-,3,5,20,1,-,193,12,-,4,22,4,13,3,-,-,2,1,85,1022,56,8,7,1,1,-,18,1900
Janeiro/2009,978,11,2,14,-,10,-,-,1,5,-,-,16,1,-,1,2,-,3,1,-,-,-,-,9,93,3,-,-,-,-,-,-,172
Fevereiro/2009,926,10,3,8,-,6,-,-,-,3,1,-,17,-,-,-,2,1,4,1,-,-,1,-,6,101,5,-,-,-,-,-,2,171
Março/2009,1017,16,1,11,-,4,-,1,-,-,-,-,16,2,-,1,2,-,2,-,-,-,-,-,10,96,4,-,-,-,-,-,-,166
Abril/2009,989,19,5,9,-,4,-,1,1,2,-,-,17,3,-,-,3,2,1,-,-,-,-,-,7,95,6,-,2,-,-,-,-,177
Maio/2009,1055,14,4,11,-,10,-,-,-,2,-,-,17,1,-,-,2,-,-,-,-,-,-,-,1,68,5,-,1,-,-,-,1,137
Junho/2009,1158,20,3,11,-,3,-,-,1,1,-,-,11,1,-,-,3,-,-,-,-,-,1,1,8,74,5,1,-,-,1,-,1,146
Julho/2009,1264,12,1,8,-,5,-,-,-,2,-,-,14,1,-,-,-,-,2,-,-,-,-,-,7,81,3,-,1,1,-,-,3,141
Agosto/2009,1236,9,-,13,-,3,-,-,1,2,-,-,15,1,-,-,3,1,-,-,-,-,-,-,4,82,3,-,-,-,-,-,1,138
Setembro/2009,1028,16,3,11,-,11,-,1,-,2,-,-,18,-,-,-,2,-,-,1,-,-,-,-,9,75,6,6,1,-,-,-,1,163
Outubro/2009,1013,14,2,6,-,7,-,-,-,-,-,-,20,-,-,1,1,-,-,-,-,-,-,-,12,94,5,1,1,-,-,-,3,167
Novembro/2009,1049,22,5,13,-,10,-,-,1,1,-,-,11,1,-,-,2,-,-,-,-,-,-,-,8,83,8,-,1,-,-,-,5,171
Dezembro/2009,1005,17,2,10,-,10,-,-,-,-,-,-,21,1,-,1,-,-,1,-,-,-,-,-,4,80,3,-,-,-,-,-,1,151
2010,13091,144,23,112,-,99,-,5,1,17,-,-,240,9,1,8,31,4,17,3,-,-,3,5,64,980,68,6,2,-,-,1,28,1871
Janeiro/2010,972,9,4,8,-,9,-,-,-,1,-,-,12,2,-,-,3,-,-,-,-,-,-,-,5,98,8,-,-,-,-,-,2,161
Fevereiro/2010,990,6,-,5,-,8,-,-,-,-,-,-,17,1,-,-,4,1,2,-,-,-,1,-,5,120,7,-,-,-,-,-,5,182
Março/2010,1090,15,1,6,-,13,-,-,-,1,-,-,21,1,-,2,3,1,1,-,-,-,-,-,6,92,9,-,1,-,-,-,2,175
Abril/2010,1018,15,2,11,-,4,-,-,-,-,-,-,19,-,-,1,-,-,1,-,-,-,-,-,4,90,3,2,-,-,-,-,1,153
Maio/2010,1170,21,1,11,-,4,-,-,-,1,-,-,23,-,-,1,4,-,2,-,-,-,1,-,5,64,1,-,-,-,-,1,-,140
Junho/2010,1179,15,-,10,-,10,-,-,1,1,-,-,27,-,-,1,5,-,2,-,-,-,-,-,6,71,2,-,-,-,-,-,2,153
Julho/2010,1100,15,4,9,-,10,-,1,-,2,-,-,25,-,-,-,-,-,2,-,-,-,-,1,2,61,2,-,-,-,-,-,-,134
Agosto/2010,1200,14,1,12,-,8,-,-,-,1,-,-,20,1,-,-,5,-,4,-,-,-,-,-,7,73,3,-,-,-,-,-,5,154
Setembro/2010,1095,8,3,8,-,8,-,-,-,-,-,-,15,1,1,1,1,-,2,-,-,-,1,2,5,69,4,2,-,-,-,-,4,135
Outubro/2010,1112,10,4,15,-,6,-,1,-,5,-,-,15,1,-,1,1,1,-,-,-,-,-,2,4,85,8,-,-,-,-,-,-,159
Novembro/2010,1091,8,2,8,-,10,-,3,-,-,-,-,27,-,-,-,3,1,-,3,-,-,-,-,5,87,11,-,-,-,-,-,6,174
Dezembro/2010,1074,8,1,9,-,9,-,-,-,5,-,-,19,2,-,1,2,-,1,-,-,-,-,-,10,70,10,2,1,-,-,-,1,151
2011,13160,143,21,125,-,95,-,2,2,26,-,2,218,11,1,15,36,6,9,2,-,1,5,1,78,833,100,45,2,-,-,2,20,1801
Janeiro/2011,1056,9,1,10,-,10,-,-,-,6,-,-,21,-,1,2,1,-,-,-,-,-,1,-,6,91,15,2,-,-,-,-,2,178
Fevereiro/2011,954,11,2,10,-,7,-,-,-,-,-,-,16,-,-,1,3,2,1,-,-,-,1,-,3,62,13,2,-,-,-,-,1,135
Março/2011,1076,16,2,10,-,9,-,-,-,1,-,1,13,1,-,-,3,1,1,-,-,-,-,-,7,73,11,-,-,-,-,-,1,150
Abril/2011,1008,12,2,11,-,5,-,-,-,6,-,-,26,-,-,2,2,-,1,-,-,-,-,1,4,89,8,2,-,-,-,-,2,173
Maio/2011,1099,10,1,18,-,6,-,-,-,2,-,-,14,-,-,2,1,-,-,-,-,-,-,-,8,58,6,7,1,-,-,-,1,135
Junho/2011,1185,14,3,10,-,2,-,-,-,1,-,-,15,1,-,-,4,1,1,1,-,-,1,-,5,62,11,2,-,-,-,-,2,136
Julho/2011,1261,12,3,10,-,14,-,1,-,2,-,-,26,4,-,-,1,-,1,-,-,-,-,-,8,64,6,7,-,-,-,-,3,162
Agosto/2011,1270,13,3,8,-,9,-,1,-,2,-,-,20,2,-,-,5,1,1,-,-,-,-,-,5,85,9,7,-,-,-,-,3,174
Setembro/2011,1099,8,3,4,-,9,-,-,-,2,-,-,14,-,-,-,3,-,2,-,-,-,-,-,10,64,6,3,-,-,-,1,2,131
Outubro/2011,1110,13,-,13,-,10,-,-,-,2,-,1,17,-,-,4,7,-,-,-,-,-,-,-,7,65,7,4,-,-,-,1,1,152
Novembro/2011,1017,15,1,12,-,5,-,-,1,-,-,-,13,2,-,-,2,-,-,-,-,1,2,-,7,58,2,1,-,-,-,-,2,124
Dezembro/2011,1025,10,-,9,-,9,-,-,1,2,-,-,23,1,-,4,4,1,1,1,-,-,-,-,8,62,6,8,1,-,-,-,-,151
2012,12961,135,17,103,-,80,1,3,1,15,-,1,226,13,2,7,38,3,11,3,1,-,9,2,97,743,112,29,1,1,-,5,22,1681
Janeiro/2012,1054,7,2,8,-,9,1,-,-,-,-,-,17,3,-,-,-,-,1,1,1,-,-,-,13,82,9,-,-,-,-,-,1,155
Fevereiro/2012,959,11,3,11,-,3,-,-,-,-,-,-,24,1,-,1,1,-,-,-,-,-,1,-,6,75,2,-,-,-,-,1,-,140
Março/2012,1033,11,2,9,-,8,-,-,-,4,-,-,17,3,-,2,2,1,1,1,-,-,-,-,6,67,13,2,-,-,-,-,1,150
Abril/2012,1015,17,1,13,-,2,-,-,-,-,-,-,20,-,-,2,2,-,1,1,-,-,2,1,3,72,13,4,-,-,-,-,2,156
Maio/2012,1165,15,2,5,-,12,-,-,1,1,-,-,22,1,-,-,8,-,-,-,-,-,-,-,11,51,11,6,-,-,-,-,1,147
Junho/2012,1217,13,2,10,-,9,-,1,-,-,-,-,19,-,-,-,3,-,-,-,-,-,-,-,11,58,6,-,-,-,-,1,1,134
Julho/2012,1208,10,1,9,-,6,-,-,-,4,-,-,16,1,-,-,6,1,1,-,-,-,-,-,7,55,14,1,-,-,-,1,-,133
Agosto/2012,1119,10,2,10,-,8,-,1,-,-,-,-,19,2,-,-,7,-,1,-,-,-,2,-,10,62,14,5,-,-,-,-,2,155
Setembro/2012,1081,10,-,7,-,5,-,1,-,2,-,-,18,-,-,-,3,1,2,-,-,-,-,-,7,66,7,3,-,-,-,1,2,135
Outubro/2012,1073,8,-,5,-,6,-,-,-,-,-,-,17,1,-,1,2,-,3,-,-,-,2,1,10,39,9,4,-,-,-,-,4,112
Novembro/2012,1025,15,1,5,-,8,-,-,-,3,-,1,22,1,1,-,3,-,-,-,-,-,2,-,4,45,7,4,1,-,-,-,3,126
Dezembro/2012,1012,8,1,11,-,4,-,-,-,1,-,-,15,-,1,1,1,-,1,-,-,-,-,-,9,71,7,-,-,1,-,1,5,138
2013,12985,110,18,96,-,75,1,5,1,14,-,-,252,8,2,9,55,5,15,-,1,-,18,4,96,677,114,15,7,-,-,7,23,1628
Janeiro/2013,1026,5,1,8,-,10,-,1,-,1,-,-,18,1,-,-,5,2,1,-,-,-,-,-,6,73,7,3,1,-,-,-,1,144
Fevereiro/2013,882,9,-,3,-,7,-,-,-,2,-,-,20,-,1,5,8,-,1,-,-,-,2,-,6,52,10,2,-,-,-,1,3,132
Março/2013,1009,4,1,9,-,4,-,1,-,1,-,-,22,-,-,-,1,1,1,-,1,-,1,-,7,61,5,4,1,-,-,1,4,130
Abril/2013,1036,9,-,8,-,7,-,1,-,1,-,-,17,2,-,-,3,-,2,-,-,-,2,-,9,54,6,3,-,-,-,-,2,126
Maio/2013,1056,8,3,9,-,4,-,-,-,1,-,-,19,-,-,-,5,-,-,-,-,-,2,-,14,52,6,-,2,-,-,1,1,127
Junho/2013,1102,13,2,9,-,5,-,1,-,2,-,-,34,-,-,-,3,-,1,-,-,-,-,-,7,40,8,-,2,-,-,1,-,128
Julho/2013,1267,11,2,12,-,2,-,-,-,-,-,-,16,2,-,1,1,-,-,-,-,-,5,1,9,47,13,-,-,-,-,-,4,126
Agosto/2013,1272,9,-,7,-,11,1,-,1,1,-,-,27,2,1,-,10,-,1,-,-,-,1,1,9,52,12,-,1,-,-,-,1,148
Setembro/2013,1103,7,1,7,-,10,-,1,-,1,-,-,25,-,-,-,4,1,3,-,-,-,1,-,8,51,8,-,-,-,-,1,1,130
Outubro/2013,1099,11,1,9,-,4,-,-,-,2,-,-,21,-,-,-,6,1,2,-,-,-,2,-,6,60,14,-,-,-,-,1,4,144
Novembro/2013,1062,15,5,6,-,4,-,-,-,2,-,-,18,-,-,2,4,-,1,-,-,-,1,2,7,59,11,1,-,-,-,1,2,141
Dezembro/2013,1071,9,2,9,-,7,-,-,-,-,-,-,15,1,-,1,5,-,2,-,-,-,1,-,8,76,14,2,-,-,-,-,-,152
2014,12868,123,14,95,-,77,1,4,2,37,-,2,252,10,1,7,35,3,10,1,-,-,20,14,69,742,124,8,1,-,-,3,34,1689
Janeiro/2014,983,12,-,7,-,8,-,1,-,-,-,-,19,-,-,2,2,-,-,-,-,-,1,-,5,70,20,-,-,-,-,-,3,150
Fevereiro/2014,968,9,2,7,-,6,-,1,-,3,-,-,21,2,-,1,4,-,1,-,-,-,2,2,7,65,8,-,1,-,-,1,2,145
Março/2014,1067,12,-,11,-,11,1,-,-,1,-,-,19,-,-,1,3,-,1,-,-,-,2,1,4,75,8,3,-,-,-,-,-,153
Abril/2014,1110,16,3,8,-,7,-,-,-,2,-,-,22,3,-,-,2,-,1,-,-,-,2,-,7,71,7,-,-,-,-,-,2,153
Maio/2014,1126,12,-,9,-,5,-,-,-,-,-,-,18,1,-,1,2,-,-,1,-,-,1,3,7,73,8,-,-,-,-,-,-,141
Junho/2014,1129,3,-,9,-,3,-,2,-,6,-,-,24,1,-,-,5,-,1,-,-,-,1,2,3,54,14,1,-,-,-,-,8,137
Julho/2014,1258,14,1,6,-,2,-,-,-,3,-,-,22,-,-,-,4,-,1,-,-,-,2,-,6,58,6,-,-,-,-,-,5,130
Agosto/2014,1199,10,2,9,-,9,-,-,-,4,-,2,24,1,1,-,5,-,2,-,-,-,2,1,11,55,8,-,-,-,-,-,4,150
Setembro/2014,1068,8,3,7,-,8,-,-,1,1,-,-,24,-,-,-,4,1,-,-,-,-,2,-,8,54,9,1,-,-,-,1,2,134
Outubro/2014,1094,11,1,10,-,8,-,-,-,5,-,-,23,-,-,1,1,2,-,-,-,-,1,-,3,64,12,-,-,-,-,-,4,146
Novembro/2014,922,11,2,6,-,6,-,-,-,6,-,-,22,1,-,1,2,-,2,-,-,-,4,2,4,46,12,3,-,-,-,1,1,132
Dezembro/2014,944,5,-,6,-,4,-,-,1,6,-,-,14,1,-,-,1,-,1,-,-,-,-,3,4,57,12,-,-,-,-,-,3,118
2015,12551,95,21,70,-,49,-,2,3,22,-,-,259,10,-,3,47,3,7,1,1,-,10,14,101,593,116,17,2,-,-,3,26,1475
Janeiro/2015,953,5,-,10,-,4,-,-,-,-,-,-,19,1,-,1,1,2,-,-,-,-,1,-,7,63,8,1,-,-,-,-,4,127
Fevereiro/2015,850,8,-,4,-,3,-,-,-,-,-,-,13,1,-,-,2,-,-,-,-,-,1,-,7,47,7,1,1,-,-,-,2,97
Março/2015,1041,10,2,5,-,3,-,-,1,3,-,-,24,2,-,-,7,-,-,-,-,-,2,3,11,54,21,2,-,-,-,1,2,153
Abril/2015,1029,11,5,5,-,5,-,-,-,1,-,-,27,-,-,1,3,-,1,-,-,-,2,2,8,41,6,6,-,-,-,-,2,126
Maio/2015,1089,9,3,5,-,7,-,1,-,1,-,-,18,-,-,-,3,1,1,-,-,-,-,1,9,53,9,1,1,-,-,-,1,124
Junho/2015,1125,13,2,2,-,3,-,-,-,2,-,-,18,-,-,-,8,-,1,-,-,-,-,1,14,34,7,1,-,-,-,-,4,110
Julho/2015,1195,4,5,4,-,7,-,-,-,1,-,-,25,1,-,-,6,-,-,-,-,-,2,3,6,62,6,1,-,-,-,2,3,138
Agosto/2015,1137,10,3,6,-,-,-,-,1,1,-,-,26,1,-,-,2,-,1,1,-,-,1,-,9,55,7,-,-,-,-,-,3,127
Setembro/2015,1049,6,-,6,-,6,-,-,-,3,-,-,32,-,-,-,5,-,-,-,-,-,1,-,6,39,10,1,-,-,-,-,1,116
Outubro/2015,1050,8,1,11,-,3,-,-,-,-,-,-,24,-,-,-,2,-,2,-,-,-,-,2,7,68,16,3,-,-,-,-,-,147
Novembro/2015,990,8,-,6,-,5,-,1,-,5,-,-,13,3,-,1,3,-,-,-,-,-,-,1,9,39,6,-,-,-,-,-,3,103
Dezembro/2015,1043,3,-,6,-,3,-,-,1,5,-,-,20,1,-,-,5,-,1,-,1,-,-,1,8,38,13,-,-,-,-,-,1,107
2016,13238,83,23,86,-,57,-,1,2,15,-,-,280,11,-,11,51,3,13,3,-,-,13,4,91,617,69,17,4,-,-,6,41,1501
Janeiro/2016,1083,4,-,7,-,3,-,-,-,-,-,-,26,-,-,1,5,-,-,-,-,-,1,-,13,72,7,-,-,-,-,1,2,142
Fevereiro/2016,960,7,1,5,-,3,-,-,1,-,-,-,16,1,-,3,4,-,4,-,-,-,4,1,9,52,7,-,-,-,-,-,2,120
Março/2016,1026,7,2,8,-,2,-,-,-,-,-,-,21,-,-,2,3,-,1,-,-,-,-,-,6,68,7,1,1,-,-,-,4,133
Abril/2016,1047,8,1,6,-,3,-,-,-,3,-,-,30,2,-,2,4,-,1,2,-,-,1,1,6,57,9,3,-,-,-,1,5,145
Maio/2016,1168,11,3,4,-,6,-,-,-,2,-,-,23,2,-,-,6,-,2,-,-,-,1,-,6,45,8,-,1,-,-,-,3,123
Junho/2016,1309,12,1,8,-,9,-,-,-,1,-,-,33,1,-,-,9,-,1,-,-,-,1,1,8,42,9,2,-,-,-,-,1,139
Julho/2016,1275,5,3,8,-,13,-,-,-,3,-,-,31,1,-,-,4,1,1,1,-,-,2,-,8,41,6,4,1,-,-,1,2,136
Agosto/2016,1220,6,2,7,-,3,-,-,-,1,-,-,17,1,-,2,3,-,1,-,-,-,1,-,8,48,3,1,-,-,-,1,7,112
Setembro/2016,1078,7,3,9,-,2,-,-,1,3,-,-,22,1,-,-,6,-,-,-,-,-,1,-,9,52,4,-,1,-,-,-,4,125
Outubro/2016,1078,5,3,8,-,6,-,-,-,1,-,-,28,1,-,-,1,-,-,-,-,-,-,-,5,48,3,1,-,-,-,-,6,116
Novembro/2016,998,3,4,7,-,5,-,-,-,-,-,-,20,-,-,-,4,2,-,-,-,-,-,1,7,49,2,2,-,-,-,1,2,109
Dezembro/2016,996,8,-,9,-,2,-,1,-,1,-,-,13,1,-,1,2,-,2,-,-,-,1,-,6,43,4,3,-,-,-,1,3,101
2017,12841,89,11,85,-,61,2,2,-,19,-,-,310,11,1,6,33,3,15,1,-,1,27,4,99,485,64,28,1,1,-,5,22,1386
Janeiro/2017,951,8,-,5,-,4,-,-,-,-,-,-,16,1,-,2,3,1,1,-,-,-,3,-,11,47,1,1,-,-,-,-,-,104
Fevereiro/2017,910,10,-,10,-,5,-,-,-,1,-,-,14,1,-,-,1,-,2,-,-,1,5,-,8,23,8,1,-,-,-,-,2,92
Março/2017,1026,9,-,8,-,3,-,-,-,2,-,-,28,2,-,-,1,-,-,-,-,-,2,1,5,53,4,1,-,-,-,-,-,119
Abril/2017,1068,7,2,12,-,4,-,-,-,2,-,-,23,2,-,-,1,-,2,-,-,-,3,-,7,42,7,2,-,-,-,-,1,117
Maio/2017,1151,8,2,8,-,7,-,-,-,-,-,-,32,1,-,1,5,-,4,-,-,-,-,1,4,28,9,5,-,-,-,-,5,120
Junho/2017,1183,11,2,4,-,4,-,-,-,2,-,-,26,1,1,-,2,-,-,-,-,-,2,-,3,33,4,2,-,-,-,1,3,101
Julho/2017,1247,8,1,5,-,6,1,1,-,3,-,-,33,-,-,-,4,1,2,-,-,-,3,-,12,40,6,1,-,-,-,1,4,132
Agosto/2017,1214,6,-,6,-,8,-,-,-,2,-,-,28,1,-,1,6,-,1,-,-,-,-,1,10,47,10,1,-,1,-,-,1,130
Setembro/2017,1010,8,-,8,-,3,-,-,-,-,-,-,21,-,-,2,3,-,1,-,-,-,4,-,9,44,5,3,1,-,-,2,1,115
Outubro/2017,1030,6,-,6,-,2,-,1,-,1,-,-,30,2,-,-,1,1,-,1,-,-,1,-,10,42,4,4,-,-,-,1,2,115
Novembro/2017,1043,7,3,8,-,8,-,-,-,4,-,-,31,-,-,-,2,-,2,-,-,-,2,-,9,46,2,4,-,-,-,-,1,129
Dezembro/2017,1008,1,1,5,-,7,1,-,-,2,-,-,28,-,-,-,4,-,-,-,-,-,2,1,11,40,4,3,-,-,-,-,2,112
2018,13170,92,22,83,-,41,1,6,1,9,-,-,358,5,-,14,56,1,16,8,-,-,17,2,155,403,62,31,2,1,-,9,25,1420
Janeiro/2018,1024,7,1,6,-,2,-,-,-,1,-,-,28,-,-,5,5,-,1,-,-,-,1,-,12,34,6,5,-,-,-,1,4,119
Fevereiro/2018,920,4,1,9,-,4,-,1,-,2,-,-,25,1,-,-,3,-,-,1,-,-,2,-,15,41,6,3,-,1,-,-,-,119
Março/2018,1094,9,3,7,-,4,-,-,1,1,-,-,24,-,-,1,4,1,2,1,-,-,3,-,19,34,1,2,-,-,-,1,3,121
Abril/2018,990,7,-,3,-,6,-,2,-,1,-,-,19,-,-,3,2,-,2,2,-,-,2,-,15,34,3,5,-,-,-,-,5,111
Maio/2018,1110,11,1,7,-,4,-,-,-,-,-,-,40,3,-,1,9,-,2,1,-,-,2,-,9,38,5,1,-,-,-,1,3,138
Junho/2018,1299,5,2,6,-,4,-,-,-,-,-,-,31,-,-,-,3,-,-,1,-,-,1,-,11,25,3,1,-,-,-,1,2,96
Julho/2018,1220,9,2,9,-,3,-,1,-,-,-,-,37,-,-,1,2,-,1,-,-,-,2,-,9,42,5,1,2,-,-,-,2,128
Agosto/2018,1222,8,3,8,-,1,-,1,-,-,-,-,27,-,-,-,5,-,1,-,-,-,-,-,5,25,5,7,-,-,-,-,1,97
Setembro/2018,1097,13,4,4,-,3,1,-,-,2,-,-,30,-,-,1,5,-,-,2,-,-,-,-,15,46,9,-,-,-,-,-,-,135
Outubro/2018,1067,6,2,10,-,1,-,-,-,1,-,-,26,-,-,-,5,-,2,-,-,-,2,2,13,25,3,1,-,-,-,1,-,100
Novembro/2018,1066,5,3,5,-,4,-,-,-,1,-,-,35,1,-,1,5,-,4,-,-,-,-,-,16,25,8,3,-,-,-,3,4,123
Dezembro/2018,1061,8,-,9,-,5,-,1,-,-,-,-,36,-,-,1,8,-,1,-,-,-,2,-,16,34,8,2,-,-,-,1,1,133
2019,13217,97,22,83,-,32,2,-,-,10,-,-,356,8,2,13,90,6,20,3,1,1,24,5,127,299,101,61,3,-,-,23,7,1396
Janeiro/2019,1113,6,4,8,-,3,-,-,-,-,-,-,44,1,-,3,7,-,2,2,-,-,4,-,13,33,4,8,-,-,-,-,1,143
Fevereiro/2019,920,5,1,5,-,5,-,-,-,-,-,-,28,-,-,1,6,1,-,-,-,1,5,-,11,16,5,1,-,-,-,2,-,93
Março/2019,1060,12,1,8,-,2,-,-,-,-,-,-,30,-,-,-,8,2,2,-,1,-,5,-,17,22,3,2,1,-,-,2,1,119
Abril/2019,1011,7,2,5,-,3,-,-,-,1,-,-,26,-,-,2,7,-,1,1,-,-,1,-,14,32,-,4,-,-,-,4,1,111
Maio/2019,1163,8,1,8,-,2,-,-,-,1,-,-,24,-,-,1,10,-,2,-,-,-,2,-,7,29,8,6,1,-,-,3,-,113
Junho/2019,1202,8,4,6,-,3,-,-,-,-,-,-,38,2,1,-,7,1,1,-,-,-,1,2,9,25,7,2,-,-,-,4,1,122
Julho/2019,1240,12,3,8,-,2,1,-,-,1,-,-,34,-,-,-,12,-,2,-,-,-,3,-,11,26,2,7,-,-,-,-,1,125
Agosto/2019,1167,9,1,10,-,3,-,-,-,1,-,-,27,-,1,1,3,-,3,-,-,-,-,-,11,24,6,8,-,-,-,1,-,109
Setembro/2019,1157,6,1,5,-,4,-,-,-,-,-,-,29,1,-,1,7,-,-,-,-,-,1,-,11,21,15,12,-,-,-,2,-,116
Outubro/2019,1099,9,2,8,-,4,1,-,-,3,-,-,21,3,-,-,8,1,2,-,-,-,1,1,10,26,20,3,-,-,-,-,2,125
Novembro/2019,1022,7,1,6,-,-,-,-,-,2,-,-,29,1,-,1,9,-,1,-,-,-,-,1,7,19,18,5,-,-,-,4,-,111
Dezembro/2019,1063,8,1,6,-,1,-,-,-,1,-,-,26,-,-,3,6,1,4,-,-,-,1,1,6,26,13,3,1,-,-,1,-,109
2020,16415,85,22,85,-,37,-,1,2,11,-,-,325,11,1,9,82,3,21,2,1,-,7,11,142,285,195,82,2,-,1,19,6,1448
Janeiro/2020,1002,7,2,3,-,2,-,-,-,1,-,-,30,2,-,1,7,1,2,-,-,-,1,1,9,28,10,3,-,-,-,-,-,110
Fevereiro/2020,989,6,3,3,-,3,-,-,-,-,-,-,26,1,-,-,9,-,3,1,-,-,-,-,10,31,13,4,1,-,-,2,-,116
Março/2020,1086,12,1,8,-,7,-,-,-,-,-,-,22,1,-,-,4,1,1,-,-,-,3,-,14,37,12,9,-,-,-,3,-,135
Abril/2020,1024,4,2,8,-,4,-,1,-,-,-,-,20,-,-,-,2,1,1,-,-,-,-,1,10,26,20,9,-,-,-,2,-,111
Maio/2020,1126,10,1,9,-,3,-,-,-,-,-,-,33,-,-,1,4,-,2,-,-,-,-,1,13,18,10,10,-,-,-,-,-,115
Junho/2020,1277,14,2,7,-,4,-,-,-,1,-,-,25,1,-,-,1,-,-,1,-,-,-,-,13,22,18,9,-,-,-,1,2,121
Julho/2020,1760,5,-,9,-,2,-,-,-,-,-,-,27,2,-,-,8,-,-,-,-,-,-,-,6,21,15,8,-,-,-,4,1,108
Agosto/2020,1724,1,1,10,-,3,-,-,-,1,-,-,35,1,-,2,12,-,3,-,-,-,-,1,10,15,9,8,-,-,-,2,1,115
Setembro/2020,1577,7,-,6,-,2,-,-,-,1,-,-,23,-,-,1,8,-,4,-,-,-,1,3,11,14,22,2,-,-,-,1,-,106
Outubro/2020,1328,6,1,8,-,4,-,-,1,2,-,-,29,3,-,4,11,-,-,-,-,-,1,2,9,28,19,2,1,-,-,3,-,134
Novembro/2020,1588,5,4,1,-,2,-,-,-,2,-,-,27,-,-,-,9,-,3,-,-,-,1,2,19,22,25,15,-,-,-,-,2,139
Dezembro/2020,1934,8,5,13,-,1,-,-,1,3,-,-,28,-,1,-,7,-,2,-,1,-,-,-,18,23,22,3,-,-,1,1,-,138
Total,315670,3596,546,1869,1,1733,10,68,22,2485,1,16,4947,251,21,369,1213,123,505,57,18,4,226,310,2359,15386,2289,372,55,14,10,117,357,39350
